ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0008544	epidermis development	181/4549	402/18860	0.450248756218905	1.8667161007449	9.90329869182881	1.67212724207688e-20	1.05661720426838e-16	7.30807611484546e-17	ABCA12/AKR1C3/ALOX12/ALOX12B/ALOX15B/ALOXE3/ASAH1/ATP2A2/BCL11B/BNC1/CALML5/CASP14/CCN2/CD109/CDH3/CDKN2A/CERS3/CLDN1/CNFN/COL17A1/COL7A1/CRABP2/CST6/CSTA/CYP27B1/CYSRT1/DKK1/DKK4/DLL1/DLX3/DNASE1L2/DSC1/DSP/EDA2R/EDAR/EGFR/ELAPOR2/EMP1/ESRP1/ETV4/EZH2/FAM3C/FERMT1/FGF2/FGF7/FOXE1/FOXI3/FOXN1/FOXQ1/FST/FZD6/GAL/GATA6/GJB5/GLI2/GRHL1/GRHL2/GRHL3/GSDME/HDAC1/HDAC2/HES1/HLA-DRB1/HOXB13/HOXC13/IGFBP5/IRF6/IVL/JAG1/JAG2/KCNQ1/KDF1/KEAP1/KLF4/KPRP/KRT10/KRT14/KRT15/KRT16/KRT17/KRT3/KRT31/KRT32/KRT34/KRT36/KRT5/KRT6A/KRT6B/KRT6C/KRT7/KRT74/KRT75/KRT77/KRT78/KRT80/KRT81/KRT9/KRTAP5-9/KRTDAP/LAMB3/LAMC2/LATS2/LCE1C/LCE1F/LCE3A/LCE3D/LCE3E/LDB2/LGR4/LHX2/LIPK/LRP4/LSR/MACROH2A2/MAFF/MSX2/MYCL/MYCN/MYO7A/NFKBIZ/NGFR/NME2/NSUN2/NTF4/OVOL1/OVOL3/PITX2/PKP1/PKP3/PLA2G10/PLAAT4/PLOD1/POU3F1/PTHLH/RBP2/S100A7/SCEL/SCRIB/SFN/SLC39A2/SLC44A4/SMO/SNAI1/SOX18/SOX21/SOX9/SPINK5/SPRR1A/SPRR1B/SPRR2B/SPRR2D/SPRR2E/SPRR2F/SPRR2G/SPRR3/SPRR4/ST14/STMN1/STS/SVEP1/TCHH/TFAP2C/TFDP1/TGFB2/TGM5/TMEM79/TMPRSS11F/TP63/TRIM16/TXNIP/USH1C/VANGL2/WAS/WHRN/WNT10A/WNT10B/WNT16/WNT5A/ZBED2/ZFP36/ZNF750	181
BP	GO:0006935	chemotaxis	202/4549	474/18860	0.426160337552743	1.76684633243454	9.53314493107046	2.39559135180988e-19	7.56887087604331e-16	5.23499752248138e-16	ABCC1/ACKR3/ACKR4/ADGRA2/AGER/AGTR1/AIF1/ALOX5/ANGPT1/ANO6/ANOS1/ARHGEF16/ARHGEF5/ARRB2/ARTN/BIN2/BMPR2/BST1/C1QBP/C3/C3AR1/C5/C5AR1/C5AR2/CCL13/CCL17/CCL18/CCL2/CCL21/CCL23/CCL24/CCL26/CCL3/CCL4/CCL7/CCN1/CCR1/CCR2/CCRL2/CD74/CH25H/CHGA/CMKLR1/CMTM2/COLEC10/CRKL/CSF1/CSF1R/CSF3R/CTSG/CX3CL1/CX3CR1/CXCL10/CXCL12/CXCL13/CXCL14/CXCL16/CXCL17/CXCL2/CXCL3/CXCL5/CXCL6/CXCR1/CXCR2/CYSLTR1/DAPK2/DEFB1/DEFB4A/DOCK2/DOCK4/DPP4/DUSP1/ECSCR/EDN1/EDN2/EDNRB/EGR3/ENG/ENPP2/EPHA7/EPHB1/F2RL1/FCER1G/FES/FFAR2/FGF18/FGF2/FGF7/FLRT3/FLT1/FPR1/FPR2/GAB1/GAS6/GDNF/GPNMB/GPSM3/GREM1/GSTP1/HBEGF/HGF/HMGB2/HOXB9/HRAS/HSPB1/IL16/IL1B/IL23A/IL6/IL6R/ITGA1/ITGA2/ITGA9/ITGAV/ITGB2/JAM3/JAML/KDR/KIF21A/L1CAM/LBP/LEF1/LGALS3/LTB4R2/MDK/MMP28/MPP1/NCKAP1L/NEDD9/NOVA2/NR4A1/NRP1/NTN1/NUP85/P2RY12/PDGFB/PERP/PF4/PGF/PIK3C2G/PIK3CG/PLA2G1B/PLAU/PLD1/PLEKHG5/PLP2/PLXNB3/PPBP/PREX1/PRKCQ/PRKD1/PROK2/PTAFR/PTPRO/RAC3/RARRES2/RIN3/RIPOR2/ROBO2/RPS19/S100A14/S100A4/S100A7/S100A9/S1PR1/SAA1/SCG2/SCRIB/SEMA3B/SEMA3E/SEMA3F/SEMA3G/SEMA4B/SEMA4C/SEMA5A/SEMA5B/SEMA6B/SERPIND1/SFTPD/SLIT2/SLIT3/SPI1/SPN/TGFB2/THBS1/TMSB4X/TNFSF11/TNFSF14/TNFSF18/TPBG/TREM1/TREM2/TRPM2/TRPV4/TUBB2B/UNC5C/VEGFD/WNT3/WNT3A/WNT5A/WNT7B/XCL1	202
BP	GO:0042330	taxis	202/4549	476/18860	0.42436974789916	1.75942260834868	9.46126704463936	4.24387822713835e-19	8.93902217242907e-16	6.18266049090471e-16	ABCC1/ACKR3/ACKR4/ADGRA2/AGER/AGTR1/AIF1/ALOX5/ANGPT1/ANO6/ANOS1/ARHGEF16/ARHGEF5/ARRB2/ARTN/BIN2/BMPR2/BST1/C1QBP/C3/C3AR1/C5/C5AR1/C5AR2/CCL13/CCL17/CCL18/CCL2/CCL21/CCL23/CCL24/CCL26/CCL3/CCL4/CCL7/CCN1/CCR1/CCR2/CCRL2/CD74/CH25H/CHGA/CMKLR1/CMTM2/COLEC10/CRKL/CSF1/CSF1R/CSF3R/CTSG/CX3CL1/CX3CR1/CXCL10/CXCL12/CXCL13/CXCL14/CXCL16/CXCL17/CXCL2/CXCL3/CXCL5/CXCL6/CXCR1/CXCR2/CYSLTR1/DAPK2/DEFB1/DEFB4A/DOCK2/DOCK4/DPP4/DUSP1/ECSCR/EDN1/EDN2/EDNRB/EGR3/ENG/ENPP2/EPHA7/EPHB1/F2RL1/FCER1G/FES/FFAR2/FGF18/FGF2/FGF7/FLRT3/FLT1/FPR1/FPR2/GAB1/GAS6/GDNF/GPNMB/GPSM3/GREM1/GSTP1/HBEGF/HGF/HMGB2/HOXB9/HRAS/HSPB1/IL16/IL1B/IL23A/IL6/IL6R/ITGA1/ITGA2/ITGA9/ITGAV/ITGB2/JAM3/JAML/KDR/KIF21A/L1CAM/LBP/LEF1/LGALS3/LTB4R2/MDK/MMP28/MPP1/NCKAP1L/NEDD9/NOVA2/NR4A1/NRP1/NTN1/NUP85/P2RY12/PDGFB/PERP/PF4/PGF/PIK3C2G/PIK3CG/PLA2G1B/PLAU/PLD1/PLEKHG5/PLP2/PLXNB3/PPBP/PREX1/PRKCQ/PRKD1/PROK2/PTAFR/PTPRO/RAC3/RARRES2/RIN3/RIPOR2/ROBO2/RPS19/S100A14/S100A4/S100A7/S100A9/S1PR1/SAA1/SCG2/SCRIB/SEMA3B/SEMA3E/SEMA3F/SEMA3G/SEMA4B/SEMA4C/SEMA5A/SEMA5B/SEMA6B/SERPIND1/SFTPD/SLIT2/SLIT3/SPI1/SPN/TGFB2/THBS1/TMSB4X/TNFSF11/TNFSF14/TNFSF18/TPBG/TREM1/TREM2/TRPM2/TRPV4/TUBB2B/UNC5C/VEGFD/WNT3/WNT3A/WNT5A/WNT7B/XCL1	202
BP	GO:0043588	skin development	148/4549	329/18860	0.449848024316109	1.86505467984212	8.92430467643557	5.84210211190849e-17	9.22906081128743e-14	6.38326525490633e-14	ABCA12/AKR1C3/ALOX12/ALOX12B/ALOX15B/ALOXE3/ARRDC3/ASAH1/ASCL4/BCL11B/CASP14/CD109/CDH3/CDKN2A/CERS3/CLDN1/CNFN/COL1A1/COL1A2/COL3A1/COL5A1/COL5A2/CSTA/CYP27B1/CYSRT1/DHCR24/DKK1/DKK4/DLL1/DLX3/DNASE1L2/DSC1/DSP/EDAR/EGFR/ETV4/EZH2/FERMT1/FGF7/FOXE1/FOXI3/FOXN1/FOXQ1/FST/FZD6/GAL/GATA6/GLI2/GRHL1/GRHL2/GRHL3/HDAC1/HDAC2/HOXC13/IGFBP5/IRF6/ITGA2/ITGA6/ITGB4/IVL/JAG1/JUP/KDF1/KLF4/KPRP/KRT10/KRT14/KRT16/KRT17/KRT3/KRT36/KRT5/KRT6A/KRT6B/KRT6C/KRT7/KRT74/KRT75/KRT77/KRT78/KRT80/KRT81/KRT9/LATS2/LCE1C/LCE1F/LCE3A/LCE3D/LCE3E/LDB2/LGR4/LHX2/LIPK/LRP4/LSR/MACROH2A2/MSX2/NFKBIZ/NGFR/NME2/NSUN2/OVOL1/OVOL3/PKP1/PKP3/PLA2G10/PLAAT4/POU3F1/RIPK4/RYR1/S100A7/SCEL/SFN/SLC39A2/SMO/SNAI1/SOX18/SOX21/SOX9/SPINK5/SPRR1A/SPRR1B/SPRR2B/SPRR2D/SPRR2E/SPRR2F/SPRR2G/SPRR3/SPRR4/ST14/STMN1/TCHH/TFAP2B/TFAP2C/TGFB2/TMEM79/TMPRSS11F/TP63/TRIM16/TXNIP/VANGL2/WNT10A/WNT10B/WNT16/WNT5A/ZBED2/ZFP36/ZNF750	148
BP	GO:0060326	cell chemotaxis	146/4549	330/18860	0.442424242424242	1.83427593144014	8.62007972677672	5.47592397445464e-16	6.92047271891577e-13	4.78653396672329e-13	ABCC1/ACKR3/ACKR4/AGTR1/AIF1/ALOX5/ANO6/ARHGEF16/ARHGEF5/ARRB2/BIN2/BST1/C1QBP/C3/C3AR1/C5/C5AR1/C5AR2/CCL13/CCL17/CCL18/CCL2/CCL21/CCL23/CCL24/CCL26/CCL3/CCL4/CCL7/CCR1/CCR2/CCRL2/CD74/CH25H/CHGA/CMKLR1/CRKL/CSF1/CSF1R/CSF3R/CTSG/CX3CL1/CX3CR1/CXCL10/CXCL12/CXCL13/CXCL14/CXCL16/CXCL17/CXCL2/CXCL3/CXCL5/CXCL6/CXCR1/CXCR2/DAPK2/DEFB4A/DOCK4/DPP4/DUSP1/EDN1/EDN2/EDNRB/EGR3/ENG/EPHB1/F2RL1/FCER1G/FFAR2/FGF18/FGF2/FLT1/FPR2/GAB1/GAS6/GPSM3/GREM1/GSTP1/HBEGF/HGF/HMGB2/HOXB9/HSPB1/IL16/IL1B/IL23A/IL6/IL6R/ITGA1/ITGA9/ITGB2/JAM3/JAML/KDR/LBP/LEF1/LGALS3/MDK/MMP28/MPP1/NCKAP1L/NEDD9/NR4A1/NRP1/NUP85/PDGFB/PERP/PF4/PGF/PIK3CG/PLA2G1B/PLEKHG5/PLXNB3/PPBP/PREX1/PRKCQ/PRKD1/PTPRO/RAC3/RARRES2/RIN3/RIPOR2/RPS19/S100A14/S100A7/S100A9/S1PR1/SAA1/SCG2/SEMA5A/SFTPD/SLIT2/SPI1/TGFB2/THBS1/TMSB4X/TNFSF11/TNFSF14/TNFSF18/TPBG/TREM1/TRPM2/TRPV4/VEGFD/WNT5A/XCL1	146
BP	GO:0006261	DNA-templated DNA replication	90/4549	171/18860	0.526315789473684	2.18208744547674	8.75461265984597	7.17057060502625e-16	7.55180594219348e-13	5.22319458808228e-13	AGER/ATAD5/ATR/BARD1/BLM/BRCA1/BRCA2/CARM1/CCNE1/CCNE2/CDC45/CDC6/CDC7/CDK1/CDK2/CDK2AP1/CDT1/CENPX/DACH1/DBF4/DBF4B/DDX11/DNA2/DNAJA3/DONSON/E2F7/E2F8/EME1/EXO1/FBXO5/FEN1/GEN1/GINS1/GINS4/GMNN/HLTF/KMT5A/LIG1/LIG3/MCIDAS/MCM10/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/MCM8/MGME1/MMS22L/ORC1/ORC5/ORC6/PARP1/PCNA/POLA2/POLB/POLD1/POLD2/POLE/POLE2/POLE3/POLG2/POLQ/PRIM1/PRIM2/PRKDC/RAD51/RBBP8/RFC2/RFC3/RFC4/RFC5/RFWD3/RNF126/RRM1/SAMHD1/SENP2/SLFN11/TICRR/TIMELESS/TIPIN/TK1/TONSL/TOPBP1/TRAIP/TWNK/WDHD1/WDR18/ZRANB3	90
BP	GO:0030198	extracellular matrix organization	145/4549	331/18860	0.438066465256798	1.81620873483034	8.44639820179631	1.90217793403247e-15	1.71712319502159e-12	1.18764553114328e-12	ABI3BP/ADAMTS1/ADAMTS12/ADAMTS13/ADAMTS14/ADAMTS17/ADAMTS18/ADAMTS20/ADAMTS8/ADAMTS9/ADAMTSL2/ADAMTSL3/ADAMTSL4/ADAMTSL5/ANTXR2/APBB2/AXIN2/BMP2/C6orf15/CAV1/CAV2/CCN1/CFLAR/COL11A1/COL11A2/COL14A1/COL1A1/COL1A2/COL27A1/COL2A1/COL3A1/COL4A3/COL4A4/COL4A6/COL5A1/COL5A2/COL6A5/COL6A6/CREB3L1/CRISPLD2/CSGALNACT1/CST3/CTSG/CTSS/CTSV/DDR1/DDR2/DPP4/DPT/ECM2/ELN/ENG/ERO1A/FAP/FBLN5/FERMT1/FGFR4/FKBP10/FOXF1/FSCN1/GAS6/GPM6B/GREM1/HAS1/HAS3/HMCN1/HPN/IBSP/IL6/ITGA2/ITGA8/KIF9/LAMA1/LAMA2/LAMB2/LCP1/LOXL1/LOXL2/LRP1/LTBP4/MATN3/MELTF/MFAP4/MMP1/MMP10/MMP11/MMP12/MMP13/MMP14/MMP17/MMP19/MMP24/MMP25/MMP28/MMP3/MMP7/MMP9/MYH11/NDNF/NPNT/NTN4/P3H1/P3H4/P4HA1/P4HA3/PLOD1/PLOD2/POSTN/PPARG/PRDM5/PRDX4/PRICKLE1/PRSS1/PRSS2/PTX3/RAMP2/RECK/RGCC/RXFP1/SCX/SERPINB5/SERPINH1/SFRP2/SLC39A8/SMPD3/SOX9/SPINK5/SPINT2/SPOCK2/ST7/SULF1/SULF2/TCF15/TGFB2/TGFBR3/TIE1/TIMP3/TLL1/TLL2/TMEM38B/TNFRSF1B/TNXB/TPSAB1/WNT3A/ZNF469	145
BP	GO:0043062	extracellular structure organization	145/4549	332/18860	0.436746987951807	1.8107382265929	8.40267815602774	2.58351287160176e-15	2.04065222945644e-12	1.41141387406454e-12	ABI3BP/ADAMTS1/ADAMTS12/ADAMTS13/ADAMTS14/ADAMTS17/ADAMTS18/ADAMTS20/ADAMTS8/ADAMTS9/ADAMTSL2/ADAMTSL3/ADAMTSL4/ADAMTSL5/ANTXR2/APBB2/AXIN2/BMP2/C6orf15/CAV1/CAV2/CCN1/CFLAR/COL11A1/COL11A2/COL14A1/COL1A1/COL1A2/COL27A1/COL2A1/COL3A1/COL4A3/COL4A4/COL4A6/COL5A1/COL5A2/COL6A5/COL6A6/CREB3L1/CRISPLD2/CSGALNACT1/CST3/CTSG/CTSS/CTSV/DDR1/DDR2/DPP4/DPT/ECM2/ELN/ENG/ERO1A/FAP/FBLN5/FERMT1/FGFR4/FKBP10/FOXF1/FSCN1/GAS6/GPM6B/GREM1/HAS1/HAS3/HMCN1/HPN/IBSP/IL6/ITGA2/ITGA8/KIF9/LAMA1/LAMA2/LAMB2/LCP1/LOXL1/LOXL2/LRP1/LTBP4/MATN3/MELTF/MFAP4/MMP1/MMP10/MMP11/MMP12/MMP13/MMP14/MMP17/MMP19/MMP24/MMP25/MMP28/MMP3/MMP7/MMP9/MYH11/NDNF/NPNT/NTN4/P3H1/P3H4/P4HA1/P4HA3/PLOD1/PLOD2/POSTN/PPARG/PRDM5/PRDX4/PRICKLE1/PRSS1/PRSS2/PTX3/RAMP2/RECK/RGCC/RXFP1/SCX/SERPINB5/SERPINH1/SFRP2/SLC39A8/SMPD3/SOX9/SPINK5/SPINT2/SPOCK2/ST7/SULF1/SULF2/TCF15/TGFB2/TGFBR3/TIE1/TIMP3/TLL1/TLL2/TMEM38B/TNFRSF1B/TNXB/TPSAB1/WNT3A/ZNF469	145
BP	GO:0045229	external encapsulating structure organization	145/4549	333/18860	0.435435435435435	1.80530057426079	8.35910696499565	3.50072557397861e-15	2.4578983224412e-12	1.70000147171452e-12	ABI3BP/ADAMTS1/ADAMTS12/ADAMTS13/ADAMTS14/ADAMTS17/ADAMTS18/ADAMTS20/ADAMTS8/ADAMTS9/ADAMTSL2/ADAMTSL3/ADAMTSL4/ADAMTSL5/ANTXR2/APBB2/AXIN2/BMP2/C6orf15/CAV1/CAV2/CCN1/CFLAR/COL11A1/COL11A2/COL14A1/COL1A1/COL1A2/COL27A1/COL2A1/COL3A1/COL4A3/COL4A4/COL4A6/COL5A1/COL5A2/COL6A5/COL6A6/CREB3L1/CRISPLD2/CSGALNACT1/CST3/CTSG/CTSS/CTSV/DDR1/DDR2/DPP4/DPT/ECM2/ELN/ENG/ERO1A/FAP/FBLN5/FERMT1/FGFR4/FKBP10/FOXF1/FSCN1/GAS6/GPM6B/GREM1/HAS1/HAS3/HMCN1/HPN/IBSP/IL6/ITGA2/ITGA8/KIF9/LAMA1/LAMA2/LAMB2/LCP1/LOXL1/LOXL2/LRP1/LTBP4/MATN3/MELTF/MFAP4/MMP1/MMP10/MMP11/MMP12/MMP13/MMP14/MMP17/MMP19/MMP24/MMP25/MMP28/MMP3/MMP7/MMP9/MYH11/NDNF/NPNT/NTN4/P3H1/P3H4/P4HA1/P4HA3/PLOD1/PLOD2/POSTN/PPARG/PRDM5/PRDX4/PRICKLE1/PRSS1/PRSS2/PTX3/RAMP2/RECK/RGCC/RXFP1/SCX/SERPINB5/SERPINH1/SFRP2/SLC39A8/SMPD3/SOX9/SPINK5/SPINT2/SPOCK2/ST7/SULF1/SULF2/TCF15/TGFB2/TGFBR3/TIE1/TIMP3/TLL1/TLL2/TMEM38B/TNFRSF1B/TNXB/TPSAB1/WNT3A/ZNF469	145
BP	GO:0048568	embryonic organ development	187/4549	472/18860	0.396186440677966	1.64257557071586	7.97095340112396	3.05879650563403e-14	1.93285351191014e-11	1.33685506225184e-11	ADA/ADM/ALDH1A2/ALX1/APELA/APLNR/ASB2/ASCL2/BMP5/BMP7/CC2D2A/CCDC134/CCDC40/CCN1/CDKN1C/CITED2/COBL/COL11A1/COL2A1/CSF2/CTHRC1/DLG1/DLL1/DLX2/DLX5/DLX6/DNAAF1/E2F7/E2F8/EDN1/EDNRA/EFEMP1/EGFR/EIF4A3/ELF5/EN1/EN2/ENG/EPAS1/EPHB2/FBN2/FLVCR1/FOLR1/FOXE1/FOXF1/FOXL2/FRZB/FZD5/FZD6/GATA2/GDNF/GJA5/GJB5/GJB6/GLI2/GRHL2/GRHL3/GSC/HES1/HEY1/HLX/HNF1B/HOXA1/HOXA11/HOXA5/HOXA9/HOXB3/HOXB7/HOXB8/HOXB9/HOXC11/HOXC4/HOXC9/HOXD10/HOXD11/HOXD3/HOXD4/HOXD9/HPN/HS6ST1/HYAL1/ID2/IFT140/IFT57/ITGA8/JUNB/KCNQ1/KDR/KRT19/LEF1/LIF/LRIG3/MDFI/MEF2C/MESP1/MFAP2/MICAL2/MMP14/MTHFD1L/MYCN/MYO3B/MYO7A/NDST1/NECTIN1/NES/NKX2-5/NKX3-2/NR4A3/NTN1/OSR1/OSR2/OTX1/PALB2/PCDH12/PDGFB/PITX2/PKDCC/PLK4/POLE/PPIL1/PPP1R13L/PPP1R35/PRICKLE1/RARA/RARG/RARRES2/RBP4/RDH10/RNF207/RSPO3/RUNX2/RYR2/SALL1/SATB2/SCRIB/SCT/SENP2/SH2B3/SHOX2/SIX1/SIX2/SIX3/SIX4/SLC44A4/SMO/SNAI1/SOBP/SOCS3/SOX11/SOX15/SOX17/SOX18/SOX9/SPINT2/ST14/STIL/STRA6/TAL1/TBX1/TBX15/TBX18/TBX2/TBX4/TCF21/TFAP2A/TGFB2/TGFBR2/TMIE/TRIM28/TTC39C/TUBB2B/TWIST1/USH1C/USH1G/UTP25/VANGL2/VASH1/VAX2/WHRN/WNT16/WNT2/WNT3A/WNT5A/WNT7B/ZEB1/ZFPM2/ZIC1	187
