category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Human Diseases	Immune disease	hsa05322	Systemic lupus erythematosus	80/2425	143/9370	0.559440559440559	2.16163218225074	8.27128070189469	1.54154256484769e-14	5.4108144026154e-12	4.36499947309504e-12	C1QA/C1QB/C1QC/C2/C3/C4A/C4B/C5/C6/C7/C8B/C8G/CD40LG/CD86/CTSG/FCGR1A/FCGR2A/FCGR3A/FCGR3B/H2AC11/H2AC12/H2AC13/H2AC14/H2AC16/H2AC20/H2AC21/H2AC4/H2AC8/H2AX/H2AZ1/H2BC10/H2BC11/H2BC12/H2BC13/H2BC14/H2BC15/H2BC17/H2BC18/H2BC21/H2BC3/H2BC4/H2BC5/H2BC6/H2BC7/H2BC8/H2BC9/H3C1/H3C10/H3C11/H3C12/H3C13/H3C2/H3C3/H3C6/H3C7/H3C8/H4C1/H4C11/H4C12/H4C2/H4C3/H4C4/H4C5/H4C8/H4C9/HLA-DMA/HLA-DMB/HLA-DOA/HLA-DPA1/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DQB1/HLA-DQB2/HLA-DRA/HLA-DRB1/HLA-DRB5/MACROH2A2/SNRPB/SNRPD1	80
Human Diseases	Infectious disease: bacterial	hsa05150	Staphylococcus aureus infection	58/2425	99/9370	0.585858585858586	2.26370925752369	7.46909252983648	4.85702112740179e-12	8.52407207859015e-10	6.87651938563728e-10	C1QA/C1QB/C1QC/C2/C3/C3AR1/C4A/C4B/C5/C5AR1/CAMP/CFD/CFI/DEFB1/DEFB4A/DSG1/FCGR1A/FCGR2A/FCGR3A/FCGR3B/FGG/FPR1/FPR2/HLA-DMA/HLA-DMB/HLA-DOA/HLA-DPA1/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DQB1/HLA-DQB2/HLA-DRA/HLA-DRB1/HLA-DRB5/ICAM1/ITGAL/ITGAM/ITGB2/KRT10/KRT13/KRT14/KRT15/KRT16/KRT17/KRT19/KRT20/KRT23/KRT31/KRT32/KRT33A/KRT34/KRT36/KRT9/MASP1/PTAFR/SELP/SELPLG	58
Organismal Systems	Development and regeneration	hsa04382	Cornified envelope formation	100/2425	217/9370	0.460829493087558	1.78060715473419	6.87459359638985	6.78429436811939e-11	7.93762441069969e-09	6.40342170183901e-09	ABCA12/ALOX12B/ALOXE3/BLMH/CASP14/CERS3/CLDN1/CLDN10/CLDN16/CLDN18/CLDN2/CLDN20/CLDN23/CLDN5/COL17A1/COL4A3/COL4A4/COL4A5/COL4A6/COL7A1/DSC1/DSG1/DSG2/DSG3/DSP/ELOVL4/ITGA6/ITGB4/IVL/JUP/KRT10/KRT13/KRT14/KRT15/KRT16/KRT17/KRT19/KRT20/KRT23/KRT3/KRT31/KRT32/KRT33A/KRT34/KRT36/KRT5/KRT6A/KRT6B/KRT6C/KRT7/KRT74/KRT75/KRT77/KRT78/KRT80/KRT81/KRT9/LAMB3/LAMC2/LCE1C/LCE1F/LCE3A/LCE3D/LCE3E/OCLN/PADI1/PADI3/PKP1/PKP2/PKP3/PNPLA1/PPP2R2C/PPP2R3B/S100A11/S100A14/S100A16/S100A2/S100A3/S100A4/S100A5/S100A7/S100A7A/S100A9/SDR9C7/SPRR1A/SPRR1B/SPRR2A/SPRR2B/SPRR2D/SPRR2E/SPRR2F/SPRR2G/SPRR3/SPRR4/SPTLC3/ST14/TCHH/THBS1/TJP3/TMEM88	100
Organismal Systems	Immune system	hsa04613	Neutrophil extracellular trap formation	87/2425	195/9370	0.446153846153846	1.72390166534496	6.03615260296039	8.36352875958724e-09	7.3389964865378e-07	5.92049799033939e-07	AGER/AQP9/C3/C5/C5AR1/CAMP/CLCN4/CR1/CTSG/CYBB/FCGR1A/FCGR2A/FCGR3A/FCGR3B/FGG/FPR1/FPR2/GP1BA/H2AC11/H2AC12/H2AC13/H2AC14/H2AC16/H2AC20/H2AC21/H2AC4/H2AC8/H2AX/H2AZ1/H2BC10/H2BC11/H2BC12/H2BC13/H2BC14/H2BC15/H2BC17/H2BC18/H2BC21/H2BC3/H2BC4/H2BC5/H2BC6/H2BC7/H2BC8/H2BC9/H3C1/H3C10/H3C11/H3C12/H3C13/H3C2/H3C3/H3C6/H3C7/H3C8/H4C1/H4C11/H4C12/H4C2/H4C3/H4C4/H4C5/H4C8/H4C9/HDAC1/HDAC2/ITGAL/ITGAM/ITGB2/MACROH2A2/MAPK12/NCF1/NCF2/NCF4/PLCB2/PPIF/PRKCB/SELP/SELPLG/SIGLEC9/TLR3/TLR7/TLR8/TLX1/VDAC3/VEGFD/WAS	87
Environmental Information Processing	Signaling molecules and interaction	hsa04514	Cell adhesion molecule (CAM) interaction	74/2425	160/9370	0.4625	1.7870618556701	5.93342431909622	1.70222960411546e-08	1.19496518208905e-06	9.63999502120124e-07	CADM1/CADM3/CD22/CD276/CD34/CD4/CD40LG/CD86/CDH1/CDH2/CDH3/CDH5/CLDN1/CLDN10/CLDN16/CLDN18/CLDN2/CLDN20/CLDN23/CLDN5/CNTN1/CNTNAP2/ESAM/HLA-DMA/HLA-DMB/HLA-DOA/HLA-DPA1/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DQB1/HLA-DQB2/HLA-DRA/HLA-DRB1/HLA-DRB5/HLA-E/ICAM1/ICAM2/ICAM3/IGSF11/ITGA6/ITGA8/ITGA9/ITGAL/ITGAM/ITGAV/ITGB2/ITGB8/JAM2/JAM3/JAML/L1CAM/LRRC4B/NCAM2/NECTIN1/NEGR1/NLGN2/NRCAM/OCLN/PECAM1/PTPRC/PTPRF/PTPRM/PTPRS/SDC1/SDC4/SELE/SELP/SELPLG/SIGLEC1/SPN/VCX/VSNL1/VWA3A	74
Cellular Processes	Cell growth and death	hsa04110	Cell cycle	73/2425	158/9370	0.462025316455696	1.78522771760407	5.8818448691885	2.24191509403883e-08	1.31152033001272e-06	1.05802659701131e-06	ANAPC11/ANAPC7/ATR/AURKB/BUB1/BUB1B/BUB3/CCNA1/CCNA2/CCNB1/CCNB2/CCND3/CCNE1/CCNE2/CDC20/CDC25A/CDC25C/CDC45/CDC6/CDC7/CDCA5/CDK1/CDK2/CDK4/CDK6/CDKN1C/CDKN2A/CDT1/CHEK1/CHEK2/DBF4/DBF4B/DDX11/E2F1/E2F2/E2F3/ESCO2/ESPL1/FBXO5/GADD45B/HDAC1/HDAC2/KNL1/MAD2L1/MAD2L2/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/MTBP/NDC80/ORC1/ORC5/ORC6/PCNA/PKMYT1/PLK1/PRKDC/PTTG1/RBL1/SFN/SGO1/SKP2/SMC1B/TFEC/TGFBR2/TIE1/TRIT1/TTLL10/YWHAZ/ZBED2	73
Organismal Systems	Immune system	hsa04610	Complement and coagulation cascades	47/2425	88/9370	0.534090909090909	2.0636832239925	5.92378420907974	3.07629230683774e-08	1.54254085671435e-06	1.24439493314188e-06	A2M/C1QA/C1QB/C1QC/C2/C3/C3AR1/C4A/C4B/C4BPA/C4BPB/C5/C5AR1/C6/C7/C8B/C8G/CD55/CFD/CFHR3/CFI/CLU/CPB2/CR1/F10/F12/F13A1/F2RL2/F2RL3/F8/FGG/ITGAM/ITGAX/ITGB2/MASP1/PLAT/PLAU/PROC/PROS1/SERPINA1/SERPINB2/SERPIND1/SERPINE2/SERPING1/TFR2/VSIR/WAS	47
Cellular Processes	Cell motility	hsa04820	Cytoskeleton in muscle cells	95/2425	233/9370	0.407725321888412	1.57541701694615	5.25563523039593	3.63524452227532e-07	1.5949635341483e-05	1.2866852322264e-05	ACTG2/ANK2/ANKRD1/ANKRD2/ATP1A2/ATP1B2/ATP1B3/CKM/COL11A1/COL11A2/COL1A1/COL1A2/COL24A1/COL27A1/COL3A1/COL4A3/COL4A4/COL4A5/COL4A6/COL5A1/COL5A2/COL6A5/COL6A6/COL9A2/COL9A3/CSRP1/CSRP2/DAAM2/DCN/DES/DIAPH3/DSC2/DSG2/DSP/ELN/ENO1/ENO2/ENO3/FBN2/FHL1/FHL2/FLNC/FMNL1/ITGA1/ITGA10/ITGA11/ITGA2/ITGA6/ITGA7/ITGA8/ITGA9/ITGAV/ITGB4/ITGB8/JUP/LAMA1/LAMA2/LMNB1/LMNB2/LMOD1/MYBPC1/MYBPC2/MYH10/MYH11/MYL9/MYOZ1/NEB/NEBL/PDLIM2/PDLIM3/PDLIM4/PKP2/SDC1/SDC4/SGCA/SGCD/SGCE/SGCG/SNTB1/SPTAN1/SPTBN1/SPTBN2/SYNE1/SYNE3/SYNPO2/THBS2/THEMIS2/TLR2/TMPO/TNNI1/TNNI3/TNNT1/TNS1/VCX/VIPR1	95
Environmental Information Processing	Signaling molecules and interaction	hsa04512	ECM-receptor interaction	45/2425	89/9370	0.50561797752809	1.95366616471678	5.34146463561937	4.89794881186686e-07	1.83871284343274e-05	1.48332210191455e-05	CD36/CD47/COL1A1/COL1A2/COL2A1/COL4A3/COL4A4/COL4A5/COL4A6/COL6A5/COL6A6/COL9A2/COL9A3/FREM1/GP1BA/HMMR/IBSP/ITGA1/ITGA10/ITGA11/ITGA2/ITGA6/ITGA7/ITGA8/ITGA9/ITGAV/ITGB4/ITGB8/LAMA1/LAMA2/LAMA4/LAMB2/LAMB3/LAMC2/LAMC3/NPNT/SDC1/SDC4/SPP1/SV2A/THBS2/THEMIS2/TNFAIP8L2/TOM1L2/WAS	45
Organismal Systems	Immune system	hsa04640	Hematopoietic cell lineage	49/2425	100/9370	0.49	1.89331958762887	5.30680776106427	5.23849812943801e-07	1.83871284343274e-05	1.48332210191455e-05	ANPEP/CD1C/CD1E/CD22/CD24/CD33/CD34/CD36/CD37/CD4/CD55/CD9/CR1/CSF1/CSF1R/CSF2/CSF2RA/CSF3/CSF3R/EPOR/FCGR1A/GP1BA/HLA-DMA/HLA-DMB/HLA-DOA/HLA-DPA1/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DQB1/HLA-DQB2/HLA-DRA/HLA-DRB1/HLA-DRB5/IL11/IL1B/IL1R1/IL1R2/IL2RA/IL3RA/IL6/IL6R/IL7R/ITGA1/ITGA2/ITGA6/ITGAM/MME/TG	49
