conMean	treatMean	logFC	pValue	fdr
A2M	2563.47854901961	245.785057729941	-3.38263370922173	1.99985369828474e-31	1.57735813812225e-29
AARD	8.19159607843137	1.93604305283757	-2.08103354390203	1.55872665415097e-23	9.05063054273186e-23
AATK	10.6148803921569	2.20516438356164	-2.26713000479976	5.79361304557782e-29	9.09531813247607e-28
ABCA3	451.587798039216	38.9031810176125	-3.53704647405149	4.66599501529898e-31	2.15002043350005e-29
ABCA6	4.71305098039216	1.00723894324853	-2.22625531816649	1.1672839392509e-28	1.67654260253472e-27
ABCA8	20.4610549019608	1.20935949119374	-4.08056546202846	1.23888956134528e-31	1.57735813812225e-29
ABCA9	4.33905490196078	0.866250880626223	-2.3245240216573	1.5636202051713e-29	2.9038243023178e-28
ABCB1	6.35417843137255	1.22406497064579	-2.37602546776239	9.79605201971771e-27	9.32697449352671e-26
ABCC6	13.1351666666667	2.16932446183953	-2.59811675085994	7.81974665265143e-31	3.01641141592706e-29
ABCC9	9.62267843137255	2.78180645792564	-1.79041646892687	5.01751844769956e-26	4.21804319615693e-25
ABCG2	10.501231372549	3.21937964774951	-1.70570388512741	5.21637828386683e-23	2.85474494527115e-22
ABI3	38.1848196078431	17.1305753424658	-1.15642560200978	3.20304315115695e-22	1.60938911737142e-21
ABI3BP	55.4826941176471	5.54624109589041	-3.32245560644973	5.40878600262178e-31	2.37092596389e-29
ABLIM3	22.882831372549	4.82148043052838	-2.24671747525642	1.16728148628692e-28	1.67654260253472e-27
AC007906.2	32.4755137254902	9.20302387475538	-1.81917247132145	2.23760250448945e-10	4.39288518439902e-10
ACAA2	41.3901196078431	17.7444264187867	-1.22192047699356	1.25168239915391e-24	8.4834156982816e-24
ACACB	9.12526666666667	2.49523894324853	-1.87068874504161	1.38827058679645e-27	1.54901166878834e-26
ACADL	16.3333960784314	1.66222994129159	-3.29663291727067	1.1057585520558e-30	3.70516441328328e-29
ACE	50.9688588235294	8.73492270058708	-2.54474921089514	2.96109830601457e-31	1.75341176445187e-29
ACKR1	135.366250980392	14.5620792563601	-3.21657982473478	3.43269979047525e-28	4.42644506888313e-27
ACKR4	8.34717843137255	1.13079823874755	-2.88394706940004	3.24464736167358e-30	8.45677246144889e-29
ACOT1	12.5675803921569	4.50011428571429	-1.48167337171446	7.61430611859018e-23	4.1022117541504e-22
ACOX2	12.1878980392157	2.57731780821918	-2.24150698444134	1.23400411864765e-29	2.376661683975e-28
ACOXL	8.05163137254902	1.26984657534247	-2.66462692386039	1.65156729343541e-31	1.57735813812225e-29
ACP5	372.342337254902	100.512950684932	-1.88924826865562	6.15845405618783e-29	9.5789502549069e-28
ACSL1	126.787266666667	55.3803829745597	-1.19496292629801	5.33054335255889e-24	3.30278411211095e-23
ACSL4	108.506423529412	40.3634759295499	-1.42665812844783	1.18938294124946e-25	9.35772674231291e-25
ACSL5	66.2779901960784	16.6826007827789	-1.99018563567906	1.22788784416484e-28	1.75984222760823e-27
ACSM3	5.5542862745098	2.14153209393346	-1.37495823904083	6.02582638535719e-23	3.27648902302029e-22
ACSS3	5.8703	1.27672093933464	-2.20099101287258	1.04420762653066e-28	1.5191805558431e-27
ACTG2	45.9674921568627	14.5728677103718	-1.65732915440115	1.19911983538585e-18	4.22256570097662e-18
