conMean	treatMean	logFC	pValue	fdr
A2ML1	0.233217647058824	39.2877489236791	7.39625873943253	4.30082785018062e-26	3.65424284927909e-25
A4GALT	24.756162745098	72.4025009784736	1.5482518215083	4.67229257715118e-11	9.56781769818263e-11
AADACL2	0.110960784313725	1.18230313111546	3.41347818058163	7.30709426455753e-07	1.15316282484852e-06
AARSD1	0.576074509803922	1.20344422700587	1.0628419545698	6.82669117464137e-09	1.22254251612656e-08
ABCA12	0.124945098039216	9.75178277886497	6.28629978374699	1.82827242712658e-30	5.43691996999532e-29
ABCA13	2.01050196078431	11.9465667318982	2.5709684201007	1.11427617307697e-13	2.69458044290026e-13
ABCB9	1.03124705882353	2.63564481409002	1.35376595763574	3.87141448613485e-23	2.14917627373794e-22
ABCC1	33.7989745098039	141.69314481409	2.06771858196406	7.54360318459026e-17	2.30996113847024e-16
ABCC2	0.380462745098039	7.88711859099804	4.3736712381574	3.93579445925577e-05	5.54611094280184e-05
ABCC5	8.66738431372549	109.988129354207	3.66560734128621	1.83237909326647e-27	1.99668685538262e-26
ABCF3	30.5820392156863	80.2652052837573	1.39209011039445	1.67670056362393e-25	1.29429012632857e-24
ABHD11	24.7078823529412	50.7108782778865	1.03732389471678	1.02041789942841e-15	2.87193288725932e-15
ABHD3	14.3705196078431	32.235431702544	1.16553507687614	9.4005279860193e-13	2.14857843811151e-12
ABRACL	64.8156215686274	192.383833072407	1.56957409570277	5.70869890445117e-23	3.11406642056546e-22
ABTB2	5.16416470588235	10.487682778865	1.02208903429779	2.20747621086657e-05	3.16347907047124e-05
AC010980.1	0.355441176470588	2.39687573385519	2.75347238758731	1.10646875524086e-15	3.10835018356779e-15
AC015802.6	0.366023529411765	1.2247614481409	1.74249247826817	6.01882057288049e-13	1.38953653478898e-12
AC092835.1	0.614011764705882	1.2702782778865	1.04880637700434	2.54075844097825e-05	3.62340776691973e-05
ACAP2	19.4104352941176	43.0800704500978	1.15018813719197	1.78347964750735e-14	4.55864421071502e-14
ACBD7	1.29636862745098	2.72140332681018	1.06987477520983	0.00416996656347135	0.00510090772614177
ACKR3	70.9280431372549	307.708922700587	2.11713822825883	6.16248445670614e-12	1.33654140803196e-11
ACOT11	1.02476078431373	2.78041663405088	1.44001390849674	6.38151447781427e-16	1.82149739883658e-15
ACOT7	26.5523568627451	54.6700589041096	1.04191100553636	5.50978124370261e-17	1.7030118262644e-16
ACP7	0.160025490196078	9.64989315068493	5.91413933505727	6.04190936407484e-20	2.39424180582255e-19
ACTL6A	21.4418588235294	116.41583111546	2.44078537479742	5.01998672844768e-30	1.16252127613087e-28
ACTL8	0.00719411764705882	3.97402074363992	9.10956593547608	2.634292015878e-21	1.19347572169023e-20
ACTR3B	2.41375882352941	5.60742818003914	1.21605770440883	1.94265849757086e-19	7.31395214046408e-19
ACVR1C	0.396833333333333	2.72562622309198	2.77998261281198	3.40786713710064e-22	1.70722404292305e-21
