gene	conMean	treatMean	logFC	pValue	fdr
A2M	2563.47854901961	245.785057729941	-3.38263370922173	1.99985369828474e-31	1.57735813812225e-29
A2ML1	0.233217647058824	39.2877489236791	7.39625873943253	4.30082785018062e-26	3.65424284927909e-25
A4GALT	24.756162745098	72.4025009784736	1.5482518215083	4.67229257715118e-11	9.56781769818263e-11
AADACL2	0.110960784313725	1.18230313111546	3.41347818058163	7.30709426455753e-07	1.15316282484852e-06
AARD	8.19159607843137	1.93604305283757	-2.08103354390203	1.55872665415097e-23	9.05063054273186e-23
AARSD1	0.576074509803922	1.20344422700587	1.0628419545698	6.82669117464137e-09	1.22254251612656e-08
AATK	10.6148803921569	2.20516438356164	-2.26713000479976	5.79361304557782e-29	9.09531813247607e-28
ABCA12	0.124945098039216	9.75178277886497	6.28629978374699	1.82827242712658e-30	5.43691996999532e-29
ABCA13	2.01050196078431	11.9465667318982	2.5709684201007	1.11427617307697e-13	2.69458044290026e-13
ABCA3	451.587798039216	38.9031810176125	-3.53704647405149	4.66599501529898e-31	2.15002043350005e-29
ABCA6	4.71305098039216	1.00723894324853	-2.22625531816649	1.1672839392509e-28	1.67654260253472e-27
ABCA8	20.4610549019608	1.20935949119374	-4.08056546202846	1.23888956134528e-31	1.57735813812225e-29
ABCA9	4.33905490196078	0.866250880626223	-2.3245240216573	1.5636202051713e-29	2.9038243023178e-28
ABCB1	6.35417843137255	1.22406497064579	-2.37602546776239	9.79605201971771e-27	9.32697449352671e-26
ABCB9	1.03124705882353	2.63564481409002	1.35376595763574	3.87141448613485e-23	2.14917627373794e-22
ABCC1	33.7989745098039	141.69314481409	2.06771858196406	7.54360318459026e-17	2.30996113847024e-16
ABCC2	0.380462745098039	7.88711859099804	4.3736712381574	3.93579445925577e-05	5.54611094280184e-05
ABCC5	8.66738431372549	109.988129354207	3.66560734128621	1.83237909326647e-27	1.99668685538262e-26
ABCC6	13.1351666666667	2.16932446183953	-2.59811675085994	7.81974665265143e-31	3.01641141592706e-29
ABCC9	9.62267843137255	2.78180645792564	-1.79041646892687	5.01751844769956e-26	4.21804319615693e-25
ABCF3	30.5820392156863	80.2652052837573	1.39209011039445	1.67670056362393e-25	1.29429012632857e-24
ABCG2	10.501231372549	3.21937964774951	-1.70570388512741	5.21637828386683e-23	2.85474494527115e-22
ABHD11	24.7078823529412	50.7108782778865	1.03732389471678	1.02041789942841e-15	2.87193288725932e-15
ABHD3	14.3705196078431	32.235431702544	1.16553507687614	9.4005279860193e-13	2.14857843811151e-12
ABI3	38.1848196078431	17.1305753424658	-1.15642560200978	3.20304315115695e-22	1.60938911737142e-21
ABI3BP	55.4826941176471	5.54624109589041	-3.32245560644973	5.40878600262178e-31	2.37092596389e-29
ABLIM3	22.882831372549	4.82148043052838	-2.24671747525642	1.16728148628692e-28	1.67654260253472e-27
ABRACL	64.8156215686274	192.383833072407	1.56957409570277	5.70869890445117e-23	3.11406642056546e-22
ABTB2	5.16416470588235	10.487682778865	1.02208903429779	2.20747621086657e-05	3.16347907047124e-05
AC007906.2	32.4755137254902	9.20302387475538	-1.81917247132145	2.23760250448945e-10	4.39288518439902e-10
AC010980.1	0.355441176470588	2.39687573385519	2.75347238758731	1.10646875524086e-15	3.10835018356779e-15
AC015802.6	0.366023529411765	1.2247614481409	1.74249247826817	6.01882057288049e-13	1.38953653478898e-12
AC092835.1	0.614011764705882	1.2702782778865	1.04880637700434	2.54075844097825e-05	3.62340776691973e-05
ACAA2	41.3901196078431	17.7444264187867	-1.22192047699356	1.25168239915391e-24	8.4834156982816e-24
ACACB	9.12526666666667	2.49523894324853	-1.87068874504161	1.38827058679645e-27	1.54901166878834e-26
ACADL	16.3333960784314	1.66222994129159	-3.29663291727067	1.1057585520558e-30	3.70516441328328e-29
ACAP2	19.4104352941176	43.0800704500978	1.15018813719197	1.78347964750735e-14	4.55864421071502e-14
ACBD7	1.29636862745098	2.72140332681018	1.06987477520983	0.00416996656347135	0.00510090772614177
ACE	50.9688588235294	8.73492270058708	-2.54474921089514	2.96109830601457e-31	1.75341176445187e-29
ACKR1	135.366250980392	14.5620792563601	-3.21657982473478	3.43269979047525e-28	4.42644506888313e-27
ACKR3	70.9280431372549	307.708922700587	2.11713822825883	6.16248445670614e-12	1.33654140803196e-11
ACKR4	8.34717843137255	1.13079823874755	-2.88394706940004	3.24464736167358e-30	8.45677246144889e-29
ACOT1	12.5675803921569	4.50011428571429	-1.48167337171446	7.61430611859018e-23	4.1022117541504e-22
ACOT11	1.02476078431373	2.78041663405088	1.44001390849674	6.38151447781427e-16	1.82149739883658e-15
ACOT7	26.5523568627451	54.6700589041096	1.04191100553636	5.50978124370261e-17	1.7030118262644e-16
ACOX2	12.1878980392157	2.57731780821918	-2.24150698444134	1.23400411864765e-29	2.376661683975e-28
ACOXL	8.05163137254902	1.26984657534247	-2.66462692386039	1.65156729343541e-31	1.57735813812225e-29
ACP5	372.342337254902	100.512950684932	-1.88924826865562	6.15845405618783e-29	9.5789502549069e-28
ACP7	0.160025490196078	9.64989315068493	5.91413933505727	6.04190936407484e-20	2.39424180582255e-19
ACSL1	126.787266666667	55.3803829745597	-1.19496292629801	5.33054335255889e-24	3.30278411211095e-23
ACSL4	108.506423529412	40.3634759295499	-1.42665812844783	1.18938294124946e-25	9.35772674231291e-25
ACSL5	66.2779901960784	16.6826007827789	-1.99018563567906	1.22788784416484e-28	1.75984222760823e-27
ACSM3	5.5542862745098	2.14153209393346	-1.37495823904083	6.02582638535719e-23	3.27648902302029e-22
ACSS3	5.8703	1.27672093933464	-2.20099101287258	1.04420762653066e-28	1.5191805558431e-27
ACTG2	45.9674921568627	14.5728677103718	-1.65732915440115	1.19911983538585e-18	4.22256570097662e-18
ACTL6A	21.4418588235294	116.41583111546	2.44078537479742	5.01998672844768e-30	1.16252127613087e-28
ACTL8	0.00719411764705882	3.97402074363992	9.10956593547608	2.634292015878e-21	1.19347572169023e-20
ACTR3B	2.41375882352941	5.60742818003914	1.21605770440883	1.94265849757086e-19	7.31395214046408e-19
ACVR1C	0.396833333333333	2.72562622309198	2.77998261281198	3.40786713710064e-22	1.70722404292305e-21
ACVRL1	137.377605882353	15.8603563600783	-3.11464975570163	7.03375290821728e-32	1.57735813812225e-29
ACY3	1.49681568627451	3.32070293542074	1.14959208463304	1.7772311580213e-05	2.56405275723405e-05
ACYP1	6.83340392156863	14.0327968688845	1.03812626840553	2.10756200705665e-15	5.78690149629283e-15
ADA	7.74585882352941	30.4437444227006	1.97464870168844	1.03812138069965e-20	4.44800912752332e-20
ADA2	73.7641274509804	27.0143305283757	-1.44919445421346	3.71753526831484e-24	2.3475417987614e-23
ADAM11	0.261376470588235	1.50544168297456	2.52598564374927	1.15215903790024e-15	3.23193417217767e-15
ADAM12	2.30267450980392	17.872926223092	2.95639345597842	1.13269100105348e-23	6.69840613456988e-23
ADAM23	2.27737058823529	63.0225923679061	4.790428119107	7.38388385313956e-14	1.80564781563552e-13
ADAM28	3.53741176470588	7.21124129158513	1.02755345347974	1.06176522254263e-07	1.77258467534908e-07
ADAM33	4.85625098039216	1.88566692759295	-1.36476811488401	8.3999818910312e-19	3.00339394890922e-18
ADAMDEC1	4.15058823529412	21.2385452054795	2.35529722838392	2.25033307384289e-15	6.16137635975519e-15
ADAMTS1	106.808778431373	32.3003863013699	-1.72540690027854	1.12485993458919e-19	4.32424088180201e-19
ADAMTS12	4.2641568627451	12.9736225048924	1.6052489505993	5.05239712865941e-10	9.6933940079623e-10
ADAMTS13	1.3238	2.69098649706458	1.02344997586686	0.00473820293624249	0.00577507419863843
ADAMTS14	1.3760431372549	5.044785518591	1.87426723632421	6.38151447781427e-16	1.82149739883658e-15
ADAMTS17	1.27192745098039	3.25523776908023	1.35574654097484	0.00010854252047252	0.000148203171742009
ADAMTS18	0.158739215686274	1.77681213307241	3.4845606620434	5.88986039341069e-08	9.9973604691272e-08
ADAMTS20	0.0105823529411765	1.14555675146771	6.75824468181196	3.34520221819128e-25	2.46660705340254e-24
ADAMTS8	49.0688823529412	1.64533659491194	-4.89835375260426	9.48808505244818e-32	1.57735813812225e-29
ADAMTS9	11.4736607843137	3.7257324853229	-1.62272977597964	1.40478484007319e-15	3.91293586255996e-15
ADAMTSL2	24.6429352941176	7.81922583170254	-1.65607642908715	1.17494823037145e-23	6.93009002107687e-23
